ORD,DFW,LAX,ATL,DEN,SFO,IAH,PHX,LAS,SEA,BOS,LGA,JFK,MSP,EWR,DTW,MCO,CLT,BWI,PHL,SLC,MIA,SAN,MDW,DCA,FLL,DAL,HOU,TPA,BNA,STL,PDX,OAK,AUS,CLE,SMF,SJC,SNA,MCI,IAD
-3,-11,-19,-16,47,-1,0,12,-7,0,-1,-20,46,-18,61,8,353,0,9,-17,-17,-4,-11,-10,-10,-17,1,39,-20,-10,25,-10,-14,-18,35,-14,-16,-15,31,-8
2344,-9,29,-14,-4,7,-15,-19,10,75,-14,-20,-13,-6,-4,20,56,6,11,-13,5,19,-1,-7,228,-16,-10,-19,-16,-15,-18,-14,-4,-17,-14,-17,-20,-11,-18,96
37,-16,-7,-16,1,95,-16,60,104,-8,-5,11,11,-12,-12,151,2344,84,-3,209,-16,12,-17,15,288,-17,13,-19,-9,-18,-15,143,43,-4,-10,-9,-12,34,56,-11
2354,139,-12,2354,-20,-19,12,112,2,118,10,-17,-2,117,-8,-9,69,3,-3,9,-19,102,10,-11,1,16,39,14,6,104,-11,-15,2,-13,-11,1,-17,8,-9,53
-15,-16,-18,7,21,39,-14,-20,-14,-17,-13,51,1,-20,-1,-2,-19,39,-10,478,-10,-6,-12,-11,181,-18,-7,-20,76,-19,-6,103,118,-7,-10,701,-14,-7,-7,-16
-6,19,-17,-18,-20,-11,-5,-8,-17,4,-15,-1,-13,43,4,-6,-7,15,-15,15,2343,-19,-6,-2,-7,-19,39,-10,-16,34,13,21,77,-14,-19,-18,-18,-13,408,137
-3,-2,61,49,3,6,4,-19,-10,36,479,395,-2,27,31,2341,-11,-4,2340,-2,0,-15,20,1,6,13,-18,19,-13,103,26,-18,-7,-6,-17,-8,7,38,-18,-18
0,-3,11,-12,31,-5,-9,132,10,126,-12,-14,-7,2354,-10,71,-15,-20,-15,9,-17,4,-8,2352,383,2349,-19,-20,-20,-18,93,-11,-11,-31,3,-19,107,36,-11,107
8,26,-14,2340,23,-8,-12,-18,-19,-1,110,-18,8,13,-3,-13,22,-11,0,20,-17,-15,-14,-3,432,82,56,26,16,20,-7,-19,7,-17,325,-18,13,109,2343,-16
-7,13,2,-16,-5,90,-9,8,2,-2,9,-20,-8,-11,5,0,-19,-4,28,-19,-15,149,-20,-18,67,-20,-15,132,-17,1,-8,-18,-17,-4,5,-17,6,-20,2,555
